

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  MIN  AVG  FGM-FGA   PCT  3PM-3PA   PCT   FTM-FTA   PCT
Jeff Foster      21.00   2.43   5.43   0.00   0.29   0.71   1.86   5.57
Antonis Fotsis    5.00   0.00   2.00   0.00   0.50   0.00   0.00   0.00
T. Fowlkes       10.00   1.20   2.80   0.00   0.00   1.00   1.20   3.40
Rick Fox         29.04   4.11   9.07   1.26   3.04   1.59   1.96  11.07
Adonal Foyle     16.60   1.35   3.45   0.00   0.00   0.35   1.35   3.05
Richie Frahm     14.33   3.00   5.33   1.33   3.33   0.00   0.00   7.33
Steve Francis    38.74   6.63  15.95   0.89   3.79   5.21   6.95  19.37
Todd Fuller       9.71   0.57   2.57   0.00   0.00   0.43   0.86   1.57
L. Funderburke   13.73   2.80   4.27   0.00   0.00   1.00   1.33   6.60
Dan Gadzuric     12.00   2.00   4.00   0.00   0.00   0.67   1.33   4.67
Reece Gaines      6.00   0.00   0.00   0.00   0.00   2.00   2.00   2.00
Kevin Gamble     10.00   0.80   2.60   0.60   1.40   0.00   0.00   2.20
Ruben Garces      1.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00
Chris Garner      6.50   0.00   2.00   0.00   1.00   0.00   0.00   0.00
Kevin Garnett    39.00   8.65  16.84   0.19   0.61   3.65   4.90  21.13
Dean Garrett     19.07   2.07   4.40   0.00   0.00   0.53   0.80   4.67
Pat Garrity      22.33   3.00   6.92   0.67   2.17   1.42   1.50   8.08
Pau Gasol        30.08   6.33  11.67   0.00   0.08   5.08   6.83  17.75
Chris Gatling    19.00   3.46   6.46   0.00   0.38   2.62   3.46   9.54
Kenny Gattison   22.33   3.33   8.00   0.00   0.00   1.67   2.33   8.33
Chris Gattling   31.00   9.00  11.00   1.00   1.00  12.00  14.00  31.00
Andrew Gaze       2.00   0.50   2.00   0.00   1.00   0.00   0.00   1.00
Reggie Geary     10.33   1.67   3.33   0.00   0.33   0.00   0.33   3.33
Matt Geiger      22.00   4.00   8.12   0.00   0.00   0.62   1.50   8.62
Devean George    17.41   2.24   4.88   0.65   1.59   1.29   1.65   6.41
Eddie Gill       23.50   2.50   4.00   0.00   0.50   3.00   3.50   8.00
Kendall Gill     28.53   5.33  10.93   0.47   1.40   1.33   1.87  12.47
Armon Gilliam    28.12   6.25  12.25   0.00   0.00   3.12   3.50  15.62
E. Ginobili      26.57   4.00   9.57   1.00   3.14   2.43   2.86  11.43
Gordan Giricek   32.17   5.67  11.00   2.33   3.67   3.50   4.33  17.17
Dion Glover      19.25   2.12   7.88   0.00   1.00   0.75   1.00   5.00
A. Goldwire      25.57   4.71   8.57   1.57   2.86   0.86   1.00  11.86
Drew Gooden      27.14   4.29   9.71   0.14   0.57   2.71   3.86  11.43
Greg Graham       2.33   0.33   1.00   0.00   0.00   0.33   0.67   1.00
R. Grandison      9.00   1.50   2.50   0.50   0.50   1.50   2.00   5.00
Brian Grant      32.83   5.43  11.22   0.04   0.09   1.57   2.52  12.48
Gary Grant       17.20   1.80   5.60   0.60   1.80   0.60   0.60   4.80
Greg Grant       26.50   1.00   4.00   0.50   1.00   1.00   1.00   3.50
Harvey Grant     22.75   2.38   6.12   0.00   0.12   0.12   0.50   4.88
Horace Grant     27.21   3.47   7.58   0.00   0.11   1.42   2.16   8.37
Paul Grant        3.00   1.00   2.00   0.00   0.00   0.00   0.00   2.00
Devin Gray        5.00   1.00   2.00   0.00   0.00   0.00   1.00   2.00
Ed Gray          15.50   4.00   9.50   1.00   3.00   1.50   2.50  10.50
Jeff Grayer      17.00   1.50   4.50   0.00   1.00   0.00   0.00   3.00
A.C. Green       25.10   3.00   6.00   0.10   0.50   1.20   2.30   7.30
Litterial Green   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Willie Green     25.00   8.00  15.00   2.00   6.00   1.00   1.00  19.00
Adrian Griffin   15.80   0.80   3.20   0.00   0.00   0.00   0.20   1.60
Eddie Griffin    29.00   3.71  10.14   1.29   4.43   1.00   1.86   9.71
Tom Gugliotta    30.62   5.33  10.83   0.04   0.29   2.42   2.79  13.12
Marcus Haislip    8.00   1.00   3.00   0.00   0.00   0.00   0.00   2.00
Darvin Ham       16.50   1.00   2.58   0.00   0.08   1.58   2.83   3.58
R. Hamilton      33.00   6.89  15.89   0.22   1.00   3.22   3.56  17.22
Thomas Hamilton   6.00   2.00   5.00   0.00   0.00   2.00   3.00   6.00
Zendon Hamilton   6.80   0.60   1.40   0.00   0.00   0.80   1.60   2.00
Geert Hammink     2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Tom Hammonds     19.28   2.67   5.83   0.00   0.00   1.39   2.22   6.72
Darrin Hancock    6.00   0.67   1.67   0.00   0.00   0.00   0.00   1.33
Ben Handlogten   20.00   3.00   3.00   0.00   0.00   4.00   4.00  10.00
Travis Hansen     7.00   1.00   3.00   0.00   0.00   0.00   0.00   2.00
A. Hardaway      34.41   5.18  12.29   0.47   2.18   2.53   3.41  13.35
Tim Hardaway     33.15   6.77  14.23   2.46   5.85   2.23   2.92  18.23
Derek Harper     29.14   4.57   8.86   1.29   3.29   1.00   1.00  11.43
Ron Harper       25.50   3.42   7.83   0.17   1.33   1.33   1.92   8.33
Matt Harpring    31.22   5.00  11.22   1.11   2.56   2.56   3.56  13.67
Adam Harrington  12.00   2.00   3.00   0.00   0.00   0.00   0.00   4.00
Al Harrington    25.50   4.75   9.00   0.38   0.88   3.50   4.88  13.12
J. Harrington    23.50   1.50   4.50   0.25   1.00   0.50   1.50   3.75
O. Harrington    27.89   4.32   8.16   0.00   0.05   2.47   3.42  11.11
Lucious Harris   23.07   3.73   8.07   0.80   2.07   0.80   1.20   9.07
Jason Hart       13.67   1.00   2.67   0.00   0.00   0.33   0.67   2.33
Anthony Harvey   19.50   1.50   5.50   0.00   0.00   2.00   2.00   5.00
Antonio Harvey   11.00   0.50   3.00   0.00   0.00   0.50   1.00   1.50
Donnell Harvey   22.67   2.56   5.56   0.00   0.22   2.00   3.11   7.11
Udonis Haslem    27.00   6.00   9.00   0.00   0.00   2.50   4.50  14.50
Trenton Hassell  27.12   3.00   6.75   0.12   0.50   0.88   1.38   7.00
Hersey Hawkins   32.32   3.05   7.95   0.95   3.37   2.79   3.11   9.84
Juaquin Hawkins   9.25   0.50   2.50   0.00   0.25   0.00   0.00   1.00
Michael Hawkins   4.00   0.00   0.33   0.00   0.33   0.00   0.00   0.00
Jarvis Hayes     31.00   4.50  13.00   1.50   4.00   0.00   0.00  10.50
Brendan Haywood  19.60   2.40   4.60   0.00   0.00   1.60   4.00   6.40
Shane Heal        7.33   0.33   2.33   0.33   2.33   0.00   0.00   1.00
Alan Henderson   22.45   3.27   7.18   0.00   0.09   2.82   4.27   9.36
C. Henderson     24.29   3.86   7.14   0.00   0.14   0.86   1.00   8.57
J.R. Henderson   11.00   2.00   5.00   0.00   0.00   0.00   0.00   4.00
M. Hendrickson   14.50   1.50   2.50   0.00   0.00   1.00   1.00   4.00
Chris Herren     18.25   1.75   5.50   1.00   2.75   1.00   1.00   5.50
Carl Herrera     10.75   1.75   3.62   0.00   0.00   0.00   0.00   3.50
Sean Higgins     19.50   3.00   5.00   2.00   3.50   0.00   0.00   8.00
Nene Hilario     32.57   4.57   8.43   0.00   0.29   3.43   5.71  12.57
Grant Hill       40.57   7.14  15.86   0.29   0.43   5.43   7.71  20.00
Tyrone Hill      30.67   3.78   7.78   0.00   0.00   1.67   3.22   9.22
Kirk Hinrich     29.50   4.50  10.00   2.50   6.50   0.00   0.00  11.50
Fred Hoiberg     18.46   1.77   4.08   0.77   2.00   0.77   1.15   5.08
J. Honeycutt      3.00   0.00   2.00   0.00   0.00   0.00   0.00   0.00
Jeff Hornacek    30.78   4.78  10.00   0.94   2.06   2.50   2.83  13.00
Robert Horry     28.21   2.93   7.07   0.46   1.86   1.61   2.14   7.93
Eddie House      21.00   2.75   8.25   0.50   1.00   0.50   0.50   6.50
Allan Houston    37.13   6.93  16.47   1.27   4.53   2.53   2.80  17.67
Juwan Howard     38.56   6.56  15.69   0.00   0.06   6.12   6.88  19.25
Stephen Howard   12.00   1.00   3.00   0.00   0.00   1.33   2.67   3.33
Troy Hudson      29.00   3.91  10.09   1.45   3.91   2.00   2.09  11.27
Larry Hughes     26.78   4.00   9.44   1.11   2.33   2.44   3.11  11.56
Ryan Humphrey     6.00   0.00   2.00   0.00   0.00   0.00   0.00   0.00
Brandon Hunter    7.00   1.00   1.00   0.00   0.00   0.00   0.00   2.00
Lindsey Hunter   28.31   3.12   9.38   1.19   3.81   0.94   1.31   8.38
Steven Hunter    16.00   3.00   7.00   0.00   0.00   1.00   2.00   7.00
Bobby Hurley     13.38   1.00   3.12   0.12   1.00   0.50   0.75   2.62
Z. Ilgauskas     29.00   6.12  13.12   0.00   0.38   5.62   7.62  17.88
Allen Iverson    41.25  10.00  21.00   1.75   4.25   6.17   7.75  27.92
Bobby Jackson    24.43   4.57  10.83   0.96   2.70   1.22   1.52  11.30
J. Jackson       18.00   0.50   2.00   0.00   0.00   2.00   3.00   3.00
Jaren Jackson    20.79   3.21   8.36   1.57   4.36   0.79   0.79   8.79
Jim Jackson      31.00   5.26  12.05   1.47   2.79   1.16   1.63  13.16
Marc Jackson     17.62   3.00   6.75   0.12   0.25   2.38   3.00   8.50
Mark Jackson     28.10   2.90   7.48   0.52   1.71   0.95   1.33   7.29
Stephen Jackson  32.43   6.57  14.14   1.57   5.00   3.14   4.71  17.86
Casey Jacobsen   18.88   1.62   5.75   1.25   3.25   1.75   1.88   6.25
Sam Jacobson     13.67   3.33   4.67   0.00   0.00   1.00   1.33   7.67
Henry James      13.00   2.00   6.00   2.00   2.00   0.00   0.00   6.00
Jerome James     10.25   1.00   3.25   0.00   0.00   1.50   2.50   3.50
LeBron James     38.00   9.50  17.00   0.00   1.00   3.00   4.00  22.00
Mike James       25.75   3.75   9.75   0.75   3.00   2.00   2.50  10.25
Antawn Jamison   36.37   7.68  17.37   0.47   1.89   4.05   5.74  19.89
Harold Jamison    1.33   0.00   0.67   0.00   0.00   0.00   0.00   0.00
Marko Jaric      26.80   2.20   6.20   0.60   2.60   0.00   0.80   5.00
Chris Jefferies   4.50   0.00   1.00   0.00   0.00   0.00   0.00   0.00
R. Jefferson     30.67   4.50   9.33   0.00   0.67   3.50   5.50  12.50
Jared Jeffries   20.50   1.50   5.00   0.00   1.00   2.00   2.50   5.00
Britton Johnsen  25.00   1.00   8.00   0.00   1.00   2.00   2.00   4.00
Anthony Johnson  24.10   3.30   6.90   0.50   1.20   0.70   0.90   7.80
Avery Johnson    30.03   4.03   8.79   0.07   0.21   1.72   2.48   9.86
DeMarco Johnson  23.00   2.00   6.00   0.00   0.00   0.00   0.00   4.00
DerMarr Johnson  20.00   2.80   7.20   1.20   2.40   1.20   2.00   8.00
Eddie Johnson    24.88   3.62   8.62   1.38   3.12   1.00   1.50   9.62
Ervin Johnson    20.35   2.50   4.60   0.00   0.05   1.70   2.50   6.70
Joe Johnson      36.70   6.10  13.00   1.40   3.30   2.00   2.50  15.60
Kevin Johnson    34.88   5.62  11.75   0.88   2.25   4.38   5.12  16.50
Larry Johnson    34.71   5.14  11.14   0.57   1.86   1.86   2.71  12.71
Magic Johnson    31.00  10.00  15.00   1.00   2.00   9.00  10.00  30.00
Charles Jones    13.40   1.00   2.80   0.60   1.40   0.00   0.00   2.60
Dahntay Jones     3.00   0.00   2.00   0.00   0.00   0.00   0.00   0.00
Damon Jones      16.36   1.00   3.82   0.73   2.45   0.18   0.36   2.91
Eddie Jones      35.94   5.61  11.78   1.78   3.78   3.28   4.06  16.28
Fred Jones       17.00   2.00   4.50   0.00   1.50   0.00   1.00   4.00
Jumaine Jones    20.56   3.00   6.11   0.67   2.44   0.56   1.11   7.22
Popeye Jones     16.89   2.44   5.00   0.22   0.22   0.22   0.67   5.33
Michael Jordan   39.60  10.20  22.00   0.60   1.50   5.50   6.60  26.50
Reggie Jordan    13.80   1.10   2.50   0.00   0.10   1.50   2.20   3.70
Chris Kaman       8.00   0.75   1.50   0.00   0.00   1.00   1.00   2.50
Jason Kapono      3.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00
Adam Keefe       17.33   1.67   3.52   0.00   0.00   1.29   1.81   4.62
Shawn Kemp       23.71   4.33   9.86   0.05   0.14   3.71   5.19  12.38
Jonathen Kerner   5.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00
Steve Kerr       15.40   2.45   4.95   1.25   2.30   0.45   0.60   6.65
Jerome Kersey    19.41   2.06   5.88   0.18   0.65   0.53   0.71   4.82
Randolph Keys    16.00   0.00   0.00   0.00   0.00   4.00   4.00   4.00
Jason Kidd       40.58   6.04  14.92   1.42   4.58   2.50   3.25  16.00
Chris King       20.00   2.17   5.50   0.67   1.17   0.83   1.50   5.83
Frankie King      3.00   1.00   4.00   0.00   1.00   0.00   0.00   2.00
Gerard King      13.25   2.00   4.25   0.00   0.00   0.75   1.25   4.75
Jimmy King       14.50   2.00   5.00   0.50   1.00   0.00   0.00   4.50
A. Kirilenko     33.33   5.17  10.25   0.42   1.50   4.42   6.33  15.17
Kerry Kittles    31.77   4.15  11.38   1.54   4.62   0.85   1.08  10.69
Joe Kleine        7.17   1.33   2.17   0.00   0.00   0.50   0.67   3.17
Brevin Knight    26.55   3.55   7.55   0.00   0.18   1.45   1.82   8.55
Travis Knight    12.27   1.73   3.60   0.00   0.00   0.40   0.60   3.87
Jon Koncak       28.00   2.00   4.00   0.00   0.00   1.00   2.00   5.00
Kyle Korver      14.50   4.00   7.00   3.50   5.50   0.00   0.00  11.50
Toni Kukoc       29.21   4.64   9.93   0.79   2.07   3.86   4.71  13.93
Raef LaFrentz    24.92   4.58   9.58   0.42   1.50   2.25   2.75  11.83
Rusty LaRue      20.50   2.00   6.00   1.50   3.50   2.00   2.00   7.50
C. Laettner      31.12   4.56   9.19   0.06   0.38   2.44   3.06  11.62
Maciej Lampe     10.33   2.00   4.67   0.00   0.33   1.00   1.33   5.00
Andrew Lang      19.83   3.17   7.67   0.00   0.00   0.17   0.17   6.50
Antonio Lang     12.00   2.00   3.50   0.00   0.00   0.00   0.00   4.00
Trajan Langdon   15.25   2.00   4.25   0.75   2.25   0.00   0.00   4.75
Dan Langhi        8.33   0.67   2.67   0.00   0.00   0.00   0.00   1.33
P. Lauderdale     4.50   1.25   2.00   0.00   0.00   0.25   1.00   2.75
Jason Lawson      1.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Eric Leckner      3.00   0.00   0.00   0.00   0.00   1.00   2.00   1.00
Tim Legler       16.20   1.60   3.80   1.00   2.00   1.40   1.60   5.60
Voshon Lenard    27.81   4.19  11.69   1.88   4.56   1.31   1.56  11.56
Martin Lewis      1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Quincy Lewis     12.00   1.56   4.00   0.11   0.44   0.56   0.67   3.78
Rashard Lewis    29.35   5.65  10.90   1.30   3.15   3.00   4.00  15.60
Alton Lister      8.00   0.50   1.00   0.00   0.00   0.00   0.00   1.00
R. Livingston    11.80   1.10   3.20   0.10   0.60   0.80   0.90   3.10
Horacio Llamas    2.50   1.00   1.50   0.00   0.00   0.50   0.50   2.50
Brad Lohaus       2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Art Long         17.00   3.00   4.00   0.00   0.00   2.00   4.00   8.00
Grant Long       24.00   2.00   5.00   0.17   0.33   1.92   2.17   6.08
Luc Longley      21.22   4.11   7.78   0.00   0.00   1.00   1.22   9.22
Felipe Lopez     21.42   4.25   8.75   0.42   1.58   1.58   2.75  10.50
Raul Lopez       19.25   1.25   3.75   0.00   0.50   0.75   1.00   3.25
Tyronn Lue       24.60   3.60   7.80   1.30   2.40   0.90   1.00   9.40
George Lynch     23.72   3.28   7.11   0.06   0.61   0.94   1.61   7.56
Todd MacCulloch  15.14   2.43   5.57   0.00   0.00   1.29   1.71   6.14
Don MacLean      16.00   3.80   9.20   0.00   1.40   3.20   4.40  10.80
Sam Mack         22.07   2.86   8.57   1.64   4.57   1.14   1.43   8.50
Mark Macon        9.00   1.00   2.00   0.00   1.00   0.00   0.00   2.00
Tito Maddox       3.00   1.00   3.00   0.00   1.00   2.00   2.00   4.00
Gerald Madkins    9.00   0.50   0.50   0.50   0.50   0.00   0.00   1.50
Mark Madsen       6.89   0.67   0.89   0.00   0.00   1.00   1.67   2.33
Corey Maggette   30.31   5.44  11.56   0.94   2.69   4.38   5.56  16.19
Jamaal Magloire  20.62   3.38   6.88   0.00   0.00   1.75   2.62   8.50
Rick Mahorn       9.25   1.25   2.50   0.00   0.00   1.00   1.00   3.50
Dan Majerle      28.07   2.67   7.40   1.67   5.00   0.73   1.20   7.73
Jeff Malone      14.00   5.00  10.00   0.00   2.00   2.00   2.00  12.00
Karl Malone      37.62   8.74  17.38   0.00   0.06   6.44   8.53  23.91
Matt Maloney     26.56   3.56   8.67   2.44   5.89   0.67   0.67  10.22
Danny Manning    19.94   4.39   7.72   0.06   0.22   2.17   2.83  11.00
Rich Manning      4.00   1.50   2.50   0.00   0.00   0.00   0.00   3.00
Stephon Marbury  39.48   7.71  17.14   1.10   3.24   3.57   4.48  20.10
S. Marciulionis  18.25   2.50   6.50   0.75   1.50   2.50   3.50   8.25
Shawn Marion     39.53   7.82  16.06   0.94   2.35   3.00   3.65  19.59
Sean Marks        9.33   1.67   2.67   0.00   0.00   0.67   1.67   4.00
D. Marshall      26.79   4.79  11.00   0.58   1.54   2.00   2.83  12.17
Donny Marshall    3.00   0.00   0.67   0.00   0.33   0.67   0.67   0.67
Darrick Martin   18.76   2.67   6.00   0.90   2.19   1.62   2.00   7.86
Kenyon Martin    36.71   7.43  15.86   0.00   0.29   3.71   4.71  18.57
Jamal Mashburn   37.75   6.00  15.88   1.38   3.88   2.62   3.88  16.00
Anthony Mason    39.43   5.43  10.29   0.00   0.00   3.36   4.29  14.21
Desmond Mason    30.92   4.83  10.75   0.42   1.33   2.67   3.00  12.75
Tony Massenburg  14.00   2.16   4.32   0.00   0.00   1.05   1.42   5.37
Vernon Maxwell   26.08   5.54  11.31   2.92   6.15   2.00   2.77  16.00
Lee Mayberry     24.45   1.91   5.27   1.27   3.18   0.36   0.45   5.45
Bob McCann        3.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Walter McCarty   22.50   3.08   7.83   1.17   3.75   0.58   0.92   7.92
Amal McCaskill   12.50   0.50   1.50   0.00   0.00   0.50   1.00   1.50
George McCloud   24.10   3.19   7.81   1.29   3.67   1.14   1.29   8.81
Jelani McCoy     13.38   2.00   3.88   0.00   0.00   0.62   1.25   4.62
Clint McDaniel    1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Xavier McDaniel   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Antonio McDyess  31.67   5.79  12.58   0.00   0.12   2.33   3.71  13.92
Tracy McGrady    34.00   7.67  18.44   1.44   3.56   4.67   5.67  21.44
Jim McIlvaine    15.38   0.92   2.77   0.00   0.00   0.38   0.62   2.23
Jeff McInnis     29.28   4.39  10.22   1.06   2.22   0.72   0.94  10.56
Derrick McKey    27.78   2.56   5.78   0.11   0.56   1.56   2.11   6.78
Aaron McKie      25.76   2.82   6.53   0.65   1.71   1.47   1.82   7.76
Keith McLeod      8.67   0.67   2.67   0.00   0.00   1.33   2.00   2.67
Roshown McLeod   16.67   3.00   9.00   0.00   0.67   1.33   1.33   7.33
Nate McMillan    20.40   1.20   3.20   0.40   1.80   0.60   0.80   3.40
Paul McPherson    8.25   1.00   2.50   0.00   0.25   0.25   0.75   2.25
S. Medvedenko    12.22   1.33   3.33   0.00   0.00   0.78   0.89   3.44
Ron Mercer       31.73   4.45  12.55   0.09   0.27   1.36   2.18  10.36
Loren Meyer      10.25   1.00   3.00   0.00   0.00   0.50   0.50   2.50
Chris Mihm       10.33   1.50   3.83   0.00   0.17   0.50   0.67   3.50
Darius Miles     29.45   4.55   9.45   0.09   0.36   2.27   4.27  11.45
Marko Milic       3.25   0.50   1.00   0.00   0.00   0.00   0.00   1.00
Darko Milicic     2.00   1.00   2.00   0.00   0.00   0.00   0.00   2.00
Andre Miller     33.00   5.38  12.08   0.00   0.85   3.31   3.54  14.08
Anthony Miller    5.67   1.33   2.33   0.00   0.00   0.83   1.17   3.50
Brad Miller      28.56   4.22   8.56   0.00   0.00   4.00   4.67  12.44
Mike Miller      27.00   4.25  10.88   1.12   4.50   2.62   3.62  12.25
Oliver Miller    20.30   3.10   4.60   0.00   0.00   1.10   1.70   7.30
Reggie Miller    35.00   5.06  11.31   1.62   4.81   3.31   3.94  15.19
Chris Mills      27.06   3.88   9.24   0.71   2.00   1.82   2.53  10.29
Terry Mills      19.33   4.00   8.67   0.33   2.17   1.17   1.67   9.50
Harold Miner      3.00   0.00   1.00   0.00   1.00   0.00   0.00   0.00
Yao Ming         30.12   6.75  11.12   0.00   0.12   4.12   5.00  17.62
Greg Minor       12.80   1.80   4.80   0.00   0.20   0.60   0.80   4.20
Sam Mitchell     25.50   4.12   9.19   0.08   0.38   2.65   3.31  10.96
Cuttino Mobley   36.64   5.73  13.09   0.95   3.73   3.64   4.18  16.05
Eric Mobley      14.00   3.00   4.00   0.00   0.00   0.00   1.00   6.00
Nazr Mohammed    19.00   3.86   7.86   0.00   0.00   2.29   3.43  10.00
Jerome Moiso      9.00   1.25   2.25   0.00   0.00   0.75   1.50   3.25
Eric Montross    12.00   1.43   2.57   0.00   0.00   0.43   1.29   3.29
Mikki Moore      13.33   2.33   3.67   0.00   0.00   1.33   1.50   6.00
Tracy Moore      36.00   4.00  12.00   1.00   4.00   6.00   6.00  15.00
Chris Morris     13.67   1.75   3.75   0.42   1.42   0.83   0.92   4.75
Terence Morris   13.71   1.29   3.71   0.29   1.29   0.29   0.29   3.14
Lawrence Moten   13.43   1.71   4.00   0.43   1.57   1.00   1.43   4.86
Hanno Mottola    14.75   1.25   6.25   0.00   0.25   0.00   0.00   2.50
Alonzo Mourning  33.45   8.00  13.45   0.09   0.27   3.64   6.36  19.73
Chris Mullin     28.18   4.55   8.64   0.82   2.18   1.73   2.09  11.64
Eric Murdock     19.88   3.00   6.50   0.75   1.75   1.25   1.25   8.00
G. Muresan       25.50   5.75   9.25   0.00   0.00   1.00   1.75  12.50
Troy Murphy      26.44   3.44   8.11   0.00   0.22   2.89   3.22   9.78
Lamond Murray    25.86   4.36   9.77   0.59   1.82   2.32   3.09  11.64
Ronald Murray    25.00   4.75  11.00   1.00   2.75   1.25   1.25  11.75
Tracy Murray     18.58   3.50   8.17   1.08   3.00   1.08   1.33   9.17
Dikembe Mutombo  34.80   3.73   7.60   0.00   0.00   2.87   4.20  10.33
Pete Myers       19.67   2.33   4.67   0.67   1.33   1.00   1.00   6.33
Mamadou N'Diaye  27.00   2.00   6.00   0.00   0.00   1.00   2.00   5.00
Mamadou N'diaye  16.00   0.00   2.00   0.00   0.00   2.00   2.00   2.00
Bostjan Nachbar  18.50   1.50   4.75   0.25   1.25   1.00   1.50   4.25
Lee Nailon       26.00   5.00  11.40   0.00   0.00   1.00   1.40  11.00
Steve Nash       17.33   2.00   5.83   0.33   1.83   0.17   0.33   4.50
Howard Nathan     1.00   1.00   1.00   0.00   0.00   0.00   0.00   2.00
Tyrone Nesby     23.55   3.64   8.82   0.91   3.09   1.09   1.45   9.27
R. Nesterovic    26.11   4.16   8.26   0.00   0.00   1.00   1.63   9.32
Ivano Newbill    12.00   0.67   1.00   0.00   0.00   0.33   3.33   1.67
Ira Newble       13.60   1.40   3.20   0.00   0.40   1.00   1.60   3.80
Johnny Newman    31.92   5.58  11.50   1.00   2.50   3.92   5.42  16.08
Jeff Nordgaard    2.00   1.00   3.00   0.00   0.00   0.00   0.00   2.00
Ken Norman       28.00   7.00  13.50   1.00   2.00   1.50   3.00  16.50
Moochie Norris   21.76   2.47   4.94   0.65   1.41   1.53   2.18   7.12
Ed O'Bannon      18.75   2.50   4.50   0.50   1.50   0.25   0.25   5.75
Jermaine O'Neal  16.53   2.63   6.53   0.05   0.21   1.95   2.79   7.26
S. O'Neal        36.52  11.33  17.85   0.00   0.00   6.52  12.85  29.19
Charles Oakley   33.27   3.27   7.64   0.00   0.55   2.09   2.45   8.64
Lamar Odom       36.64   6.82  13.45   0.45   1.45   4.36   7.00  18.45
Mehmet Okur      18.75   2.75   5.75   0.25   0.25   1.50   1.75   7.25
Hakeem Olajuwon  30.64   6.55  13.45   0.00   0.09   3.14   4.59  16.23
Dean Oliver       4.50   0.00   1.00   0.00   0.00   0.00   0.00   0.00
Kevin Ollie      19.25   1.67   4.50   0.00   0.00   1.58   2.08   4.92
M. Olowokandi    30.22   4.17   9.39   0.00   0.00   1.39   2.22   9.72
Greg Ostertag    20.20   1.77   4.37   0.00   0.07   1.37   2.33   4.90
Bo Outlaw        24.11   2.78   4.48   0.00   0.11   1.07   2.07   6.63
Doug Overton     10.50   1.08   2.92   0.25   0.50   0.67   0.83   3.08
Billy Owens      26.64   3.64   8.55   0.27   0.55   0.91   1.36   8.45
Ray Owes          9.00   1.00   2.67   0.00   0.33   0.00   1.00   2.00
Olumide Oyedeji   7.25   0.75   1.50   0.00   0.00   0.25   1.00   1.75
Zaza Pachulia     7.00   1.00   3.00   0.00   0.00   1.00   2.00   3.00
Robert Pack      22.11   4.00   8.89   0.56   1.11   2.78   3.11  11.33
Scott Padgett    18.00   3.25   6.75   0.92   2.50   0.75   0.92   8.17
Milt Palacio     15.80   1.80   5.10   0.40   0.90   0.70   1.20   4.70
Jannero Pargo    10.60   1.20   3.00   0.20   0.80   0.00   0.00   2.60
Robert Parish     6.00   0.67   1.33   0.00   0.00   0.67   1.33   2.00
Anthony Parker   21.00   2.00   9.00   1.00   4.00   0.00   0.00   5.00
Smush Parker     21.00   5.00  11.00   2.00   5.00   4.00   4.00  16.00
Tony Parker      30.36   5.36  12.18   1.00   3.00   2.27   3.18  14.00
Cherokee Parks   16.71   1.47   3.53   0.00   0.06   0.88   1.29   3.82
A. Patterson     11.40   2.00   3.60   0.00   0.20   1.80   2.60   5.80
Ruben Patterson  24.53   4.58   8.68   0.26   0.89   2.47   3.47  11.74
A. Pavlovic      15.75   1.50   5.25   0.50   1.50   1.50   1.50   5.00
Gary Payton      38.31   8.28  17.72   1.09   4.06   2.53   3.31  20.19
Anthony Peeler   26.13   4.13   9.03   1.29   3.42   0.77   1.06  10.32
Mike Penberthy   10.50   1.75   3.50   1.25   2.25   0.25   0.25   5.00
Kirk Penney      14.00   1.00   6.00   1.00   3.00   0.00   0.00   3.00
Will Perdue      20.33   1.94   3.89   0.00   0.00   0.89   1.89   4.78
K. Perkins        2.00   1.00   1.00   0.00   0.00   0.00   0.00   2.00
Sam Perkins      24.07   3.47   7.87   1.53   4.07   1.13   1.67   9.60
Elliot Perry     17.73   3.09   6.27   0.27   1.00   1.55   2.00   8.00
Tim Perry         6.00   1.00   1.00   0.00   0.00   0.00   0.00   2.00
Chuck Person     22.88   2.25   5.50   1.50   3.50   0.38   0.50   6.38
Wesley Person    28.68   3.82   9.09   1.00   3.45   1.05   1.36   9.68
Morris Peterson  25.88   5.50  10.75   1.62   4.50   1.38   1.38  14.00
Bobby Phills     32.75   3.25  10.75   0.50   2.25   3.50   4.25  10.50
Eric Piatkowski  21.54   3.39   7.32   1.29   3.25   1.50   1.54   9.57
Paul Pierce      36.30   6.70  15.50   1.50   4.50   4.70   5.80  19.60
Ricky Pierce     13.43   2.71   6.86   0.57   1.57   2.86   3.00   8.86
Mickael Pietrus  15.00   1.50   4.00   0.50   1.50   1.50   2.00   5.00
